## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_NODE_10213_length_3711_cov_2_06947,5,VIRSorter_NODE_10213_length_3711_cov_2_06947,5,1,1,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_10499_length_3588_cov_1_77526,7,VIRSorter_NODE_10499_length_3588_cov_1_77526,7,1,1,4.77301433309972,,3.79042655108673,,,
VIRSorter_NODE_1089_length_35553_cov_6_39146,47,VIRSorter_NODE_1089_length_35553_cov_6_39146,47,1,3,3.78994627561749,,20.51005391234040,gene_9-gene_19:2.08643547320097,,
VIRSorter_NODE_10985_length_3408_cov_2_18073,3,VIRSorter_NODE_10985_length_3408_cov_2_18073,3,1,2,2.04557757132845,,,,,
VIRSorter_NODE_11057_length_3380_cov_2_07128,4,VIRSorter_NODE_11057_length_3380_cov_2_07128,4,1,2,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_11198_length_3334_cov_2_6072,6,VIRSorter_NODE_11198_length_3334_cov_2_6072,6,1,2,2.71383052214983,,3.24893704378863,,,
VIRSorter_NODE_11656_length_3191_cov_2_15753,5,VIRSorter_NODE_11656_length_3191_cov_2_15753,5,1,1,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_1207_length_32964_cov_63_5819,45,VIRSorter_NODE_1207_length_32964_cov_63_5819,45,1,2,10.39285914934125,,17.75130667631813,,,
VIRSorter_NODE_12106_length_3058_cov_1_70596,6,VIRSorter_NODE_12106_length_3058_cov_1_70596,6,1,3,4.09115514265690,,3.24893704378863,,,
VIRSorter_NODE_12109_length_3057_cov_1_99334,5,VIRSorter_NODE_12109_length_3057_cov_1_99334,5,1,1,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_12537_length_2936_cov_1_43631,4,VIRSorter_NODE_12537_length_2936_cov_1_43631,4,1,1,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_13668_length_2679_cov_2_25495,3,VIRSorter_NODE_13668_length_2679_cov_2_25495,3,1,1,2.04557757132845,,,,,
VIRSorter_NODE_13834_length_2645_cov_1_50463,7,VIRSorter_NODE_13834_length_2645_cov_1_50463,7,1,3,3.33135307661555,,3.79042655108673,,,
VIRSorter_NODE_15263_length_2372_cov_1_42943,4,VIRSorter_NODE_15263_length_2372_cov_1_42943,4,1,2,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_1556_length_27348_cov_14_9381,35,VIRSorter_NODE_1556_length_27348_cov_14_9381,35,1,4,15.75175589605115,,16.40682563896785,,,
VIRSorter_NODE_16346_length_2200_cov_1_54499,6,VIRSorter_NODE_16346_length_2200_cov_1_54499,6,1,1,2.71383052214983,,3.24893704378863,,,
VIRSorter_NODE_16859_length_2124_cov_1_77284,4,VIRSorter_NODE_16859_length_2124_cov_1_77284,4,1,1,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_16914_length_2117_cov_1_50921,5,VIRSorter_NODE_16914_length_2117_cov_1_50921,5,1,3,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_17235_length_2074_cov_1_23081,5,VIRSorter_NODE_17235_length_2074_cov_1_23081,5,1,3,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_1796_length_24010_cov_2_84792,28,VIRSorter_NODE_1796_length_24010_cov_2_84792,28,1,3,14.78152628389625,,12.88295260339411,,,
VIRSorter_NODE_1894_length_22890_cov_6_22798,34,VIRSorter_NODE_1894_length_22890_cov_6_22798,34,1,2,12.30482268706369,,15.89875988715669,,,
VIRSorter_NODE_1995_length_21894_cov_3_83919,31,VIRSorter_NODE_1995_length_21894_cov_3_83919,31,1,3,11.89799718297078,,14.38305420506544,,,
VIRSorter_NODE_2011_length_21802_cov_5_79887,15,VIRSorter_NODE_2011_length_21802_cov_5_79887,15,1,1,8.90566856190834,,6.80012331473766,,,
VIRSorter_NODE_22037_length_1623_cov_1_83355,4,VIRSorter_NODE_22037_length_1623_cov_1_83355,4,1,1,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_2279_length_19416_cov_5_89985,30,VIRSorter_NODE_2279_length_19416_cov_5_89985,30,1,3,10.01327240211803,,13.88107323905101,,,
VIRSorter_NODE_22845_length_1567_cov_1_19114,3,VIRSorter_NODE_22845_length_1567_cov_1_19114,3,1,1,2.04557757132845,,,,,
VIRSorter_NODE_2355_length_18784_cov_4_05371,23,VIRSorter_NODE_2355_length_18784_cov_4_05371,23,1,3,7.36905767977896,,10.43306936878648,,,
VIRSorter_NODE_2551_length_17330_cov_3_48469,18,VIRSorter_NODE_2551_length_17330_cov_3_48469,18,1,3,8.77812425286252,,8.09359861759055,,,
VIRSorter_NODE_2710_length_16425_cov_3_62346,26,VIRSorter_NODE_2710_length_16425_cov_3_62346,26,1,2,3.76410233003242,,11.89403575893313,,,gene_14-gene_24:2.45547877632714
VIRSorter_NODE_2725_length_16376_cov_2_68721,22,VIRSorter_NODE_2725_length_16376_cov_2_68721,22,1,2,3.69438275899623,,9.95372776823722,,,
VIRSorter_NODE_2920_length_15174_cov_4_36299,19,VIRSorter_NODE_2920_length_15174_cov_4_36299,19,1,3,4.20778362669589,,6.86573563924104,,,
VIRSorter_NODE_2946_length_15028_cov_9_32291,18,VIRSorter_NODE_2946_length_15028_cov_9_32291,18,1,4,3.74287576231705,,8.09359861759055,,,
VIRSorter_NODE_31082_length_1173_cov_1_16011,3,VIRSorter_NODE_31082_length_1173_cov_1_16011,3,1,1,2.04557757132845,,,,,
VIRSorter_NODE_32220_length_1134_cov_1_56163,3,VIRSorter_NODE_32220_length_1134_cov_1_56163,3,1,1,2.04557757132845,,,,,
VIRSorter_NODE_3317_length_13342_cov_4_03808,21,VIRSorter_NODE_3317_length_13342_cov_4_03808,21,1,1,10.51876625974837,,9.47918505056972,,,
VIRSorter_NODE_3417_length_12984_cov_4_43066,14,VIRSorter_NODE_3417_length_12984_cov_4_43066,14,1,2,6.63517208066178,,6.40476184311779,,,
VIRSorter_NODE_3462_length_12808_cov_2_38767,17,VIRSorter_NODE_3462_length_12808_cov_2_38767,17,1,3,8.21763135734595,,7.64901912330050,,,
VIRSorter_NODE_3759_length_11748_cov_2_52356,16,VIRSorter_NODE_3759_length_11748_cov_2_52356,16,1,3,4.94810273614085,,5.60741597123949,,,
VIRSorter_NODE_3875_length_11357_cov_30_4105,13,VIRSorter_NODE_3875_length_11357_cov_30_4105,13,1,3,7.86416947575663,,6.03936359487536,,,
VIRSorter_NODE_3931_length_11170_cov_3_07629,13,VIRSorter_NODE_3931_length_11170_cov_3_07629,13,1,1,4.79196954740862,,6.03936359487536,,,
VIRSorter_NODE_4216_length_10410_cov_2_72409,14,VIRSorter_NODE_4216_length_10410_cov_2_72409,14,1,5,3.00504463839443,,6.40476184311779,,,
VIRSorter_NODE_4827_length_9015_cov_2_09833,10,VIRSorter_NODE_4827_length_9015_cov_2_09833,10,1,3,2.10750055917972,,2.93431277498123,,,
VIRSorter_NODE_4876_length_8903_cov_1_94925,9,VIRSorter_NODE_4876_length_8903_cov_1_94925,9,1,3,4.58943177610325,,3.50579754495845,,,
VIRSorter_NODE_5619_length_7489_cov_2_61071,9,VIRSorter_NODE_5619_length_7489_cov_2_61071,9,1,1,2.42147024830831,,4.87340556568294,,,
VIRSorter_NODE_5964_length_7007_cov_3_62558,12,VIRSorter_NODE_5964_length_7007_cov_3_62558,12,1,1,2.33560564030693,,gene_1-gene_10:4.63674382259741,,,
VIRSorter_NODE_6206_length_6715_cov_3_65946,9,VIRSorter_NODE_6206_length_6715_cov_3_65946,9,1,2,3.39089843352541,,4.87340556568294,,,
VIRSorter_NODE_6464_length_6421_cov_28_77,9,VIRSorter_NODE_6464_length_6421_cov_28_77,9,1,2,6.13673271398536,,4.87340556568294,,,
VIRSorter_NODE_7504_length_5380_cov_2_50141,11,VIRSorter_NODE_7504_length_5380_cov_2_50141,11,1,3,5.39112386314442,,5.47926332555949,,,
VIRSorter_NODE_8206_length_4844_cov_2_53059,10,VIRSorter_NODE_8206_length_4844_cov_2_53059,10,1,4,3.97898319401403,,5.41489507298105,,,
VIRSorter_NODE_8520_length_4633_cov_2_69201,8,VIRSorter_NODE_8520_length_4633_cov_2_69201,8,1,2,2.81416315685485,,3.01313822643484,,,
VIRSorter_NODE_8850_length_4428_cov_14_9394,5,VIRSorter_NODE_8850_length_4428_cov_14_9394,5,1,1,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_8963_length_4357_cov_1_78429,10,VIRSorter_NODE_8963_length_4357_cov_1_78429,10,1,5,5.22676686456198,,5.41489507298105,,,
VIRSorter_NODE_9092_length_4279_cov_4_56629,5,VIRSorter_NODE_9092_length_4279_cov_4_56629,5,1,2,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_9192_length_4215_cov_3_86058,5,VIRSorter_NODE_9192_length_4215_cov_3_86058,5,1,3,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_9240_length_4196_cov_1_29123,6,VIRSorter_NODE_9240_length_4196_cov_1_29123,6,1,3,4.09115514265690,,3.24893704378863,,,
VIRSorter_NODE_9326_length_4144_cov_1_83884,6,VIRSorter_NODE_9326_length_4144_cov_1_83884,6,1,3,2.71383052214983,,3.24893704378863,,,
VIRSorter_NODE_9549_length_4028_cov_2_09288,5,VIRSorter_NODE_9549_length_4028_cov_2_09288,5,1,2,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_9564_length_4020_cov_1_97453,3,VIRSorter_NODE_9564_length_4020_cov_1_97453,3,1,1,2.04557757132845,,,,,
VIRSorter_NODE_9943_length_3835_cov_2_46481,8,VIRSorter_NODE_9943_length_3835_cov_2_46481,8,1,2,5.45487352354254,,4.33191605838484,,,
## 2 - Complete phage contigs - category 2 (somewhat sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_NODE_1002_length_37828_cov_14_3369,48,VIRSorter_NODE_1002_length_37828_cov_14_3369,48,2,4,gene_1-gene_38:23.01855463413658,,23.09940174761856,,,
VIRSorter_NODE_1004_length_37777_cov_3_34439,41,VIRSorter_NODE_1004_length_37777_cov_3_34439,41,2,2,,,19.47843587668849,gene_1-gene_13:4.92330961738031,,
VIRSorter_NODE_10372_length_3645_cov_1_79694,4,VIRSorter_NODE_10372_length_3645_cov_1_79694,4,2,2,,,2.16595802919242,,,
VIRSorter_NODE_10399_length_3634_cov_1_64487,5,VIRSorter_NODE_10399_length_3634_cov_1_64487,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_10515_length_3585_cov_5_74533,5,VIRSorter_NODE_10515_length_3585_cov_5_74533,5,2,,3.40929595221409,,2.70744753649053,,,
VIRSorter_NODE_10573_length_3560_cov_1_83081,9,VIRSorter_NODE_10573_length_3560_cov_1_83081,9,2,,4.58943177610325,,4.87340556568294,,,
VIRSorter_NODE_1063_length_36171_cov_4_39739,50,VIRSorter_NODE_1063_length_36171_cov_4_39739,50,2,3,gene_23-gene_49:8.88946689183583,,22.04268711891768,,,
VIRSorter_NODE_10730_length_3496_cov_6_39291,3,VIRSorter_NODE_10730_length_3496_cov_6_39291,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_1076_length_35912_cov_47_4085,36,VIRSorter_NODE_1076_length_35912_cov_47_4085,36,2,,gene_9-gene_35:6.84623685918323,,16.91613046289455,,,
VIRSorter_NODE_10960_length_3415_cov_3_27173,7,VIRSorter_NODE_10960_length_3415_cov_3_27173,7,2,,2.25190287405618,,3.79042655108673,,,
VIRSorter_NODE_10980_length_3409_cov_2_17412,5,VIRSorter_NODE_10980_length_3409_cov_2_17412,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_11042_length_3385_cov_3_0994,6,VIRSorter_NODE_11042_length_3385_cov_3_0994,6,2,2,,,3.24893704378863,,,
VIRSorter_NODE_11071_length_3375_cov_2_57108,7,VIRSorter_NODE_11071_length_3375_cov_2_57108,7,2,,3.33135307661555,,2.52667294059240,,,
VIRSorter_NODE_11163_length_3347_cov_2_0243,5,VIRSorter_NODE_11163_length_3347_cov_2_0243,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_11323_length_3294_cov_2_31646,6,VIRSorter_NODE_11323_length_3294_cov_2_31646,6,2,2,,,3.24893704378863,,,
VIRSorter_NODE_1133_length_34543_cov_15_1019,46,VIRSorter_NODE_1133_length_34543_cov_15_1019,46,2,3,gene_10-gene_46:9.02546036747699,,18.25018674044488,,,
VIRSorter_NODE_11539_length_3226_cov_1_97036,8,VIRSorter_NODE_11539_length_3226_cov_1_97036,8,2,,3.95718828193993,,3.01313822643484,,,
VIRSorter_NODE_1163_length_33745_cov_10_5942,42,VIRSorter_NODE_1163_length_33745_cov_10_5942,42,2,,gene_1-gene_37:12.60834376678456,,19.99359644526425,,,
VIRSorter_NODE_11793_length_3150_cov_1_97544,4,VIRSorter_NODE_11793_length_3150_cov_1_97544,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_12050_length_3073_cov_1_43539,5,VIRSorter_NODE_12050_length_3073_cov_1_43539,5,2,,3.40929595221409,,2.70744753649053,,,
VIRSorter_NODE_1216_length_32749_cov_6_27341,45,VIRSorter_NODE_1216_length_32749_cov_6_27341,45,2,2,gene_9-gene_40:6.27872134972392,,gene_1-gene_42:19.91908507735011,,,
VIRSorter_NODE_12170_length_3036_cov_1_93928,7,VIRSorter_NODE_12170_length_3036_cov_1_93928,7,2,,3.33135307661555,,2.52667294059240,,,
VIRSorter_NODE_12252_length_3014_cov_8_79453,5,VIRSorter_NODE_12252_length_3014_cov_8_79453,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_12354_length_2985_cov_1_74983,6,VIRSorter_NODE_12354_length_2985_cov_1_74983,6,2,,2.71383052214983,,3.24893704378863,,,
VIRSorter_NODE_12380_length_2978_cov_1_98084,4,VIRSorter_NODE_12380_length_2978_cov_1_98084,4,2,,2.72743676177127,,2.16595802919242,,,
VIRSorter_NODE_12442_length_2961_cov_7_00069,7,VIRSorter_NODE_12442_length_2961_cov_7_00069,7,2,,2.25190287405618,,3.79042655108673,,,
VIRSorter_NODE_12502_length_2945_cov_1_6045,5,VIRSorter_NODE_12502_length_2945_cov_1_6045,5,2,,2.10752451831288,,2.70744753649053,,,
VIRSorter_NODE_12583_length_2924_cov_107_33,3,VIRSorter_NODE_12583_length_2924_cov_107_33,3,2,,2.04557757132845,,,,,
VIRSorter_NODE_12899_length_2849_cov_7_58626,6,VIRSorter_NODE_12899_length_2849_cov_7_58626,6,2,,2.71383052214983,,3.24893704378863,,,
